标题,区域,位置,价格,一平米多少元
迎泽人大旁南北通透客厅有窗明亮停车方便地铁站,电力勘测设计院宿舍 ,水西关商圈,140万,12,482元/平
优山美郡 客厅横厅设计 楼层好 采光好临花园 业主急售,辰兴·优山美郡 ,三给,123万,7,910元/平
铜锣湾 柳巷 南北通透 两居  好楼层,郭家巷粮食局宿舍 ,柳巷商圈,51.5万,7,924元/平
此房大红本在手，过户费用少，采光好，户型南北,汇隆花园（俊苑) ,东客站,100万,8,240元/平
长风商务区 兰亭御湖城  大红本满二  诚心出售,兰亭·御湖城东区 ,义井商圈,79万,8,850元/平
长风商务区 兰亭御湖城东区 东南户型 满五唯一 免个税,兰亭·御湖城东区 ,义井商圈,94万,10,293元/平
新建路水西关桃园两室小户型交通便利,水西关恒山地产宿舍 ,桃北商圈,42万,8,431元/平
此房交通便利，户型方正，独梯独户，环境优雅,龙湾国际 ,胜利桥东,203.5万,8,073元/平
北大街 北沙河 一层 两居 公摊小 交易费用低,山西省统计局胜利桥东小区 ,胜利桥东,38万,5,742元/平
胜利街三居浇筑房，出门美特好 城北菜市场 公交站牌！,嘉兴苑 ,小东门,81万,7,979元/平
急售 急售 首付17万解放路 地铁二号线 单价7400,教科所宿舍 ,三墙路,55万,7,169元/平
急售 八一 满五 带家电 地下室 拎包住  南北非顶,重减小区 ,亲贤商圈,77.9万,11,804元/平
长风商务区 南北通透  明厨明卫 诚心出售 满五,兰亭·御湖城东区 ,义井商圈,90.2万,10,946元/平
半坡西街国贸解放路柳巷三居室总价低电梯房,半坡西街小区 ,半坡商圈,105万,7,976元/平
南北通透，格局好，楼层好，地铁2号线，交通便利,太矿西苑小区南区 ,矿机商圈,90万,6,690元/平
新上 儿童医院 经信委宿舍 大红本中间楼层精装修,省经信委宿舍院 ,三墙路,93万,11,768元/平
大南门地铁口 两室小户型低价出售 大红本 能停车,旧城街小区 ,大南门商圈,39万,6,377元/平
恒大名都经典两三居室，主卧朝南，采光好，视野佳,恒大名都 ,小商品商圈,128万,9,422元/平
下元理工大宿舍 浇筑房带地下室 环境优美 人文素质高,理工大西区 ,千峰北路商圈,72.5万,8,851元/平
桃园四巷 94年 小三居 中间层 一梯两户 可停车 有钥匙,外事办宿舍 ,桃北商圈,70万,9,438元/平
新建路，龙潭公园，万达商圈，成熟小区,柳溪花园 ,金刚堰商圈,100万,8,330元/平
迎泽街邻解放路商品电梯房3居室中间楼层大红本,晋福小区 ,柳巷商圈,88万,7,321元/平
南北通透 房龄新   院子整洁  方便停车 对桃源！,山西省气象局宿舍院区 ,桃北商圈,75万,10,996元/平
恒大绿洲精装小三居，拎包入住，经典户型！,太原恒大绿洲 ,经济开发区商圈,123万,11,945元/平
府东街 大红本 电梯房 绿化好  停车方便  钥匙在手,山西电力杏花岭小区 ,文庙商圈,144万,10,058元/平
西岸小区业主急售，大红本满五，电梯房，配套齐全,西岸南区 ,千峰南路商圈,85万,8,823元/平
太原南站 万科城 南北房 大红本 二次装修,太原万科城 ,南站机场商圈,144万,13,750元/平
中正天街，省中医院  卷烟厂单位房,山西昆烟晋华里小区 ,人民医院,85万,8,156元/平
此房精装修，已满二，基本未入住，好楼层,梧桐院 ,义井商圈,103万,11,100元/平
好房 带地下室 2层 户型不错  有大红本 可贷款,东华苑-溢翠园 ,东客站,68万,8,171元/平
亲贤街 天美旁 两居 西南 浇筑 中间层,腾龙苑 ,亲贤商圈,77.5万,9,386元/平
精装拎包入住 南北户型 中间楼层 采光格局好,赞城A区 ,千峰北路商圈,106万,9,320元/平
急售！急售！带40小院 精装修 房东诚心出售 地铁二线,富力华庭D区 ,矿机商圈,220万,11,276元/平
大南门，三居室，中间楼层，南北朝向，开化寺地铁口。,水西门街10号 ,大南门商圈,82万,8,558元/平
金太行 2室1厅 南 北,金太行 ,南站机场商圈,79万,10,098元/平
水西门南海子公园 精装电梯 近地鉄 采光好 三卧朝南,悦名都 ,大南门商圈,188万,8,455元/平
景都花苑 2室2厅 东 南,景都花苑 ,兴华,95万,9,132元/平
兰亭经典三居两卫  南北通透   楼龄新,兰亭御湖城西区 ,义井商圈,116万,10,848元/平
体育路科技街口北美晶域蓝湾三居全明户型看房提前联系,北美晶域蓝湾南区 ,学府商圈,183万,11,633元/平
南中环 保利梧桐语 满二两居 品质小区,保利梧桐语 ,义井商圈,101万,11,135元/平
恒大绿洲  大三居  精装修  拎包入住 诚心出售,太原恒大绿洲 ,经济开发区商圈,176万,12,831元/平
十万火急 五龙口 电梯房 龙翔苑 大红本 可贷款,龙翔苑 ,五龙口商圈,100万,6,392元/平
长风商务区 精装3居 全明户型  采光视野一级棒 随时看,梧桐院 ,义井商圈,140万,11,061元/平
小户型，总价低，满足收入不高在太原购房人群，2011..,辰憬天地 ,森林公园商圈,29万,8,040元/平
大红本在手，低楼层无遮挡，采光好，交通便利,馨春龙城苑D区 ,肿瘤医院商圈,85万,7,183元/平
首开国风朗月 毛坯大三居 业主诚心出售 看房有钥匙,首开·国风琅樾 ,龙城商圈,220万,13,415元/平
胜利东街富力城中高楼层南北通透业主诚心出售有钥匙,太铁胜利小区 ,肿瘤医院商圈,88万,7,334元/平
